P1|P2|P3|样本数|平均月薪|链接|1年以内|1-3年|3-5年|5-10年|10年以上|24岁以下|25岁-29岁|30岁-34岁|35岁-39岁|40岁-44岁|45岁以上
技术|后端开发|Java|255,567|￥8860|https://www.zhipin.com/salaryxc/c101120100_p100101.html|1年以内工作经验占比1%，平均月薪¥5,900；|1-3年工作经验占比29%，平均月薪¥7,700；|3-5年工作经验占比53%，平均月薪¥9,300；|5-10年工作经验占比16%，平均月薪¥10,900；|10年以上工作经验占比1%，平均月薪¥12,000；|24岁以下占比45%；|25岁-29岁占比44%；|30岁-34岁占比8%；|35岁-39岁占比2%；||45岁以上占比1%；
技术|后端开发|C/C++|18,831|￥10380|https://www.zhipin.com/salaryxc/c101120100_p100102.html|1年以内工作经验占比2%，平均月薪¥6,200；|1-3年工作经验占比50%，平均月薪¥8,800；|3-5年工作经验占比41%，平均月薪¥10,900；|5-10年工作经验占比7%，平均月薪¥13,500；||24岁以下占比55%；|25岁-29岁占比29%；|30岁-34岁占比10%；|35岁-39岁占比4%；|40岁-44岁占比1%；|45岁以上占比1%；
技术|后端开发|PHP|10,407|￥8416|https://www.zhipin.com/salaryxc/c101120100_p100103.html||1-3年工作经验占比37%，平均月薪¥7,100；|3-5年工作经验占比57%，平均月薪¥8,600；|5-10年工作经验占比6%，平均月薪¥10,000；||24岁以下占比36%；|25岁-29岁占比40%；|30岁-34岁占比18%；|35岁-39岁占比4%；|40岁-44岁占比1%；|45岁以上占比1%；
技术|后端开发|C#|6,076|￥9069|https://www.zhipin.com/salaryxc/c101120100_p100106.html||1-3年工作经验占比27%，平均月薪¥7,600；|3-5年工作经验占比65%，平均月薪¥9,400；|5-10年工作经验占比8%，平均月薪¥10,000；||24岁以下占比43%；|25岁-29岁占比34%；|30岁-34岁占比12%；|35岁-39岁占比7%；|40岁-44岁占比2%；|45岁以上占比2%；
技术|后端开发|.NET|6,521|￥9056|https://www.zhipin.com/salaryxc/c101120100_p100107.html||1-3年工作经验占比28%，平均月薪¥7,400；|3-5年工作经验占比57%，平均月薪¥9,200；|5-10年工作经验占比14%，平均月薪¥9,900；|10年以上工作经验占比1%，平均月薪¥14,829；|24岁以下占比42%；|25岁-29岁占比39%；|30岁-34岁占比12%；|35岁-39岁占比5%；|40岁-44岁占比1%；|45岁以上占比1%；
技术|后端开发|Hadoop|510|￥10973|https://www.zhipin.com/salaryxc/c101120100_p100108.html||1-3年工作经验占比12%，平均月薪¥8,600；|3-5年工作经验占比84%，平均月薪¥10,000；|5-10年工作经验占比3%，平均月薪¥12,400；|10年以上工作经验占比1%，平均月薪¥18,574；|24岁以下占比40%；|25岁-29岁占比52%；|30岁-34岁占比6%；|35岁-39岁占比2%；||
技术|后端开发|Python|8,463|￥9206|https://www.zhipin.com/salaryxc/c101120100_p100109.html||1-3年工作经验占比39%，平均月薪¥7,700；|3-5年工作经验占比57%，平均月薪¥9,200；|5-10年工作经验占比3%，平均月薪¥12,900；|10年以上工作经验占比1%，平均月薪¥19,323；|24岁以下占比53%；|25岁-29岁占比38%；|30岁-34岁占比6%；|35岁-39岁占比2%；||45岁以上占比1%；
技术|后端开发|Node.js|562|￥10213|https://www.zhipin.com/salaryxc/c101120100_p100114.html||1-3年工作经验占比15%，平均月薪¥6,300；|3-5年工作经验占比72%，平均月薪¥10,000；|5-10年工作经验占比12%，平均月薪¥10,300；|10年以上工作经验占比1%，平均月薪¥14,979；|24岁以下占比45%；|25岁-29岁占比43%；|30岁-34岁占比7%；|35岁-39岁占比3%；|40岁-44岁占比1%；|45岁以上占比1%；
技术|后端开发|Golang|1,810|￥9806|https://www.zhipin.com/salaryxc/c101120100_p100116.html||1-3年工作经验占比43%，平均月薪¥12,900；|3-5年工作经验占比53%，平均月薪¥13,700；|5-10年工作经验占比3%，平均月薪¥13,950；|10年以上工作经验占比1%，平均月薪¥20,521；|24岁以下占比51%；|25岁-29岁占比34%；|30岁-34岁占比12%；|35岁-39岁占比3%；||
技术|后端开发|语音/视频/图形开发|91|￥11533|https://www.zhipin.com/salaryxc/c101120100_p100121.html||1-3年工作经验占比29%，平均月薪¥8,800；|3-5年工作经验占比67%，平均月薪¥11,700；|5-10年工作经验占比3%，平均月薪¥16,200；|10年以上工作经验占比1%，平均月薪¥24,266；|24岁以下占比27%；|25岁-29岁占比45%；|30岁-34岁占比21%；|35岁-39岁占比4%；|40岁-44岁占比2%；|45岁以上占比1%；
技术|后端开发|全栈工程师|12,399|￥9136|https://www.zhipin.com/salaryxc/c101120100_p100123.html|1年以内工作经验占比1%，平均月薪¥5,000；|1-3年工作经验占比19%，平均月薪¥7,300；|3-5年工作经验占比49%，平均月薪¥9,300；|5-10年工作经验占比29%，平均月薪¥10,000；|10年以上工作经验占比2%，平均月薪¥12,100；|24岁以下占比40%；|25岁-29岁占比42%；|30岁-34岁占比13%；|35岁-39岁占比4%；|40岁-44岁占比1%；|
技术|后端开发|GIS工程师|1,624|￥8653|https://www.zhipin.com/salaryxc/c101120100_p100124.html||1-3年工作经验占比20%，平均月薪¥7,900；|3-5年工作经验占比77%，平均月薪¥9,500；|5-10年工作经验占比2%，平均月薪¥13,800；|10年以上工作经验占比1%，平均月薪¥20,671；|24岁以下占比41%；|25岁-29岁占比43%；|30岁-34岁占比10%；|35岁-39岁占比4%；|40岁-44岁占比1%；|45岁以上占比1%；
技术|后端开发|区块链工程师|18|￥16283|https://www.zhipin.com/salaryxc/c101120100_p100125.html||1-3年工作经验占比11%，平均月薪¥10,861；|3-5年工作经验占比77%，平均月薪¥12,400；|5-10年工作经验占比11%，平均月薪¥17,250；|10年以上工作经验占比1%，平均月薪¥25,839；|24岁以下占比44%；|25岁-29岁占比33%；|30岁-34岁占比11%；|35岁-39岁占比6%；|40岁-44岁占比6%；|
技术|前端/移动开发|Android|8,116|￥8580|https://www.zhipin.com/salaryxc/c101120100_p100202.html||1-3年工作经验占比23%，平均月薪¥10,000；|3-5年工作经验占比70%，平均月薪¥10,100；|5-10年工作经验占比7%，平均月薪¥10,700；||24岁以下占比29%；|25岁-29岁占比42%；|30岁-34岁占比23%；|35岁-39岁占比5%；||45岁以上占比1%；
技术|前端/移动开发|iOS|1,845|￥10250|https://www.zhipin.com/salaryxc/c101120100_p100203.html||1-3年工作经验占比28%，平均月薪¥10,000；|3-5年工作经验占比59%，平均月薪¥10,000；|5-10年工作经验占比12%，平均月薪¥10,400；|10年以上工作经验占比1%，平均月薪¥15,578；|24岁以下占比7%；|25岁-29岁占比45%；|30岁-34岁占比42%；|35岁-39岁占比5%；|40岁-44岁占比1%；|
技术|前端/移动开发|JavaScript|367|￥8943|https://www.zhipin.com/salaryxc/c101120100_p100208.html||1-3年工作经验占比18%，平均月薪¥6,000；|3-5年工作经验占比75%，平均月薪¥10,000；|5-10年工作经验占比6%，平均月薪¥13,000；|10年以上工作经验占比1%，平均月薪¥19,473；|24岁以下占比38%；|25岁-29岁占比57%；|30岁-34岁占比5%；|||
技术|前端/移动开发|U3D|2,871|￥8139|https://www.zhipin.com/salaryxc/c101120100_p100209.html||1-3年工作经验占比34%，平均月薪¥7,100；|3-5年工作经验占比62%，平均月薪¥10,000；|5-10年工作经验占比3%，平均月薪¥13,900；|10年以上工作经验占比1%，平均月薪¥20,821；|24岁以下占比64%；|25岁-29岁占比27%；|30岁-34岁占比6%；|35岁-39岁占比2%；||45岁以上占比1%；
技术|前端/移动开发|Cocos|166|￥8930|https://www.zhipin.com/salaryxc/c101120100_p100210.html||1-3年工作经验占比86%，平均月薪¥9,400；|3-5年工作经验占比12%，平均月薪¥9,400；|5-10年工作经验占比1%，平均月薪¥10,900；|10年以上工作经验占比1%，平均月薪¥14,080；|24岁以下占比40%；|25岁-29岁占比33%；|30岁-34岁占比16%；|35岁-39岁占比8%；|40岁-44岁占比2%；|45岁以上占比1%；
技术|前端/移动开发|UE4|1,007|￥8703|https://www.zhipin.com/salaryxc/c101120100_p100211.html||1-3年工作经验占比35%，平均月薪¥7,000；|3-5年工作经验占比54%，平均月薪¥10,000；|5-10年工作经验占比10%，平均月薪¥11,500；|10年以上工作经验占比1%，平均月薪¥17,226；|24岁以下占比52%；|25岁-29岁占比34%；|30岁-34岁占比9%；|35岁-39岁占比3%；|40岁-44岁占比1%；|45岁以上占比1%；
技术|前端/移动开发|技术美术|162|￥11133|https://www.zhipin.com/salaryxc/c101120100_p100212.html||1-3年工作经验占比21%，平均月薪¥6,150；|3-5年工作经验占比28%，平均月薪¥9,350；|5-10年工作经验占比50%，平均月薪¥9,700；|10年以上工作经验占比1%，平均月薪¥14,530；|24岁以下占比33%；|25岁-29岁占比43%；|30岁-34岁占比19%；|35岁-39岁占比5%；||
技术|前端/移动开发|鸿蒙开发工程师|38|￥12786|https://www.zhipin.com/salaryxc/c101120100_p100213.html||1-3年工作经验占比15%，平均月薪¥7,650；|3-5年工作经验占比46%，平均月薪¥10,000；|5-10年工作经验占比38%，平均月薪¥12,150；|10年以上工作经验占比1%，平均月薪¥18,200；|24岁以下占比13%；|25岁-29岁占比45%；|30岁-34岁占比42%；|||
技术|前端/移动开发|前端开发工程师|141,149|￥8486|https://www.zhipin.com/salaryxc/c101120100_p100901.html||1-3年工作经验占比29%，平均月薪¥7,000；|3-5年工作经验占比54%，平均月薪¥8,700；|5-10年工作经验占比17%，平均月薪¥9,700；||24岁以下占比44%；|25岁-29岁占比51%；|30岁-34岁占比4%；|35岁-39岁占比1%；||
技术|测试|测试工程师|51,983|￥6920|https://www.zhipin.com/salaryxc/c101120100_p100301.html|1年以内工作经验占比2%，平均月薪¥5,300；|1-3年工作经验占比45%，平均月薪¥6,800；|3-5年工作经验占比44%，平均月薪¥8,200；|5-10年工作经验占比9%，平均月薪¥9,400；||24岁以下占比44%；|25岁-29岁占比42%；|30岁-34岁占比11%；|35岁-39岁占比2%；||45岁以上占比1%；
技术|测试|自动化测试|4,104|￥8253|https://www.zhipin.com/salaryxc/c101120100_p100302.html||1-3年工作经验占比14%，平均月薪¥7,800；|3-5年工作经验占比76%，平均月薪¥8,300；|5-10年工作经验占比9%，平均月薪¥9,500；|10年以上工作经验占比1%，平均月薪¥14,230；|24岁以下占比45%；|25岁-29岁占比43%；|30岁-34岁占比10%；|35岁-39岁占比2%；||
技术|测试|功能测试|4,196|￥5350|https://www.zhipin.com/salaryxc/c101120100_p100303.html||1-3年工作经验占比44%，平均月薪¥5,800；|3-5年工作经验占比53%，平均月薪¥8,600；|5-10年工作经验占比2%，平均月薪¥9,400；|10年以上工作经验占比1%，平均月薪¥14,080；|24岁以下占比59%；|25岁-29岁占比29%；|30岁-34岁占比9%；|35岁-39岁占比3%；||
技术|测试|性能测试|1,554|￥7333|https://www.zhipin.com/salaryxc/c101120100_p100304.html||1-3年工作经验占比22%，平均月薪¥5,432；|3-5年工作经验占比71%，平均月薪¥10,000；|5-10年工作经验占比6%，平均月薪¥10,000；|10年以上工作经验占比1%，平均月薪¥14,979；|24岁以下占比36%；|25岁-29岁占比39%；|30岁-34岁占比17%；|35岁-39岁占比5%；|40岁-44岁占比3%；|
技术|测试|测试开发|1,460|￥9586|https://www.zhipin.com/salaryxc/c101120100_p100305.html||1-3年工作经验占比47%，平均月薪¥9,700；|3-5年工作经验占比46%，平均月薪¥12,900；|5-10年工作经验占比6%，平均月薪¥15,600；|10年以上工作经验占比1%，平均月薪¥19,323；|24岁以下占比45%；|25岁-29岁占比41%；|30岁-34岁占比11%；|35岁-39岁占比2%；|40岁-44岁占比1%；|
技术|测试|游戏测试|293|￥5663|https://www.zhipin.com/salaryxc/c101120100_p100307.html||1-3年工作经验占比25%，平均月薪¥4,250；|3-5年工作经验占比64%，平均月薪¥4,803；|5-10年工作经验占比10%，平均月薪¥6,700；|10年以上工作经验占比1%，平均月薪¥7,195；|24岁以下占比72%；|25岁-29岁占比25%；|30岁-34岁占比1%；|35岁-39岁占比1%；||45岁以上占比1%；
技术|测试|硬件测试|4,044|￥6590|https://www.zhipin.com/salaryxc/c101120100_p100308.html||1-3年工作经验占比59%，平均月薪¥6,700；|3-5年工作经验占比37%，平均月薪¥7,700；|5-10年工作经验占比3%，平均月薪¥16,700；|10年以上工作经验占比1%，平均月薪¥25,015；|24岁以下占比61%；|25岁-29岁占比27%；|30岁-34岁占比7%；|35岁-39岁占比4%；|40岁-44岁占比1%；|
技术|测试|软件测试|8,172|￥7810|https://www.zhipin.com/salaryxc/c101120100_p100309.html||1-3年工作经验占比45%，平均月薪¥6,300；|3-5年工作经验占比49%，平均月薪¥8,100；|5-10年工作经验占比6%，平均月薪¥9,100；||24岁以下占比47%；|25岁-29岁占比41%；|30岁-34岁占比10%；|35岁-39岁占比2%；||
技术|测试|渗透测试|2,117|￥7313|https://www.zhipin.com/salaryxc/c101120100_p100310.html||1-3年工作经验占比64%，平均月薪¥7,300；|3-5年工作经验占比33%，平均月薪¥10,400；|5-10年工作经验占比2%，平均月薪¥12,900；|10年以上工作经验占比1%，平均月薪¥14,300；|24岁以下占比73%；|25岁-29岁占比21%；|30岁-34岁占比5%；|||45岁以上占比1%；
技术|测试|测试经理|863|￥8796|https://www.zhipin.com/salaryxc/c101120100_p100703.html|1年以内工作经验占比1%，平均月薪¥3,843；|1-3年工作经验占比73%，平均月薪¥4,300；|3-5年工作经验占比14%，平均月薪¥8,600；|5-10年工作经验占比12%，平均月薪¥10,600；||24岁以下占比56%；|25岁-29岁占比27%；|30岁-34岁占比11%；|35岁-39岁占比5%；|40岁-44岁占比1%；|
技术|运维/技术支持|运维工程师|78,183|￥5630|https://www.zhipin.com/salaryxc/c101120100_p100401.html|1年以内工作经验占比5%，平均月薪¥5,000；|1-3年工作经验占比54%，平均月薪¥5,900；|3-5年工作经验占比37%，平均月薪¥7,800；|5-10年工作经验占比4%，平均月薪¥9,700；||24岁以下占比63%；|25岁-29岁占比26%；|30岁-34岁占比7%；|35岁-39岁占比2%；|40岁-44岁占比1%；|45岁以上占比1%；
技术|运维/技术支持|运维开发工程师|4,070|￥9243|https://www.zhipin.com/salaryxc/c101120100_p100402.html||1-3年工作经验占比34%，平均月薪¥8,500；|3-5年工作经验占比57%，平均月薪¥9,200；|5-10年工作经验占比8%，平均月薪¥12,400；|10年以上工作经验占比1%，平均月薪¥18,574；|24岁以下占比49%；|25岁-29岁占比38%；|30岁-34岁占比10%；|35岁-39岁占比3%；||
技术|运维/技术支持|网络工程师|12,356|￥5743|https://www.zhipin.com/salaryxc/c101120100_p100403.html||1-3年工作经验占比49%，平均月薪¥5,300；|3-5年工作经验占比48%，平均月薪¥7,500；|5-10年工作经验占比3%，平均月薪¥7,600；||24岁以下占比64%；|25岁-29岁占比23%；|30岁-34岁占比8%；|35岁-39岁占比4%；|40岁-44岁占比1%；|
技术|运维/技术支持|系统工程师|3,718|￥7273|https://www.zhipin.com/salaryxc/c101120100_p100404.html||1-3年工作经验占比44%，平均月薪¥5,700；|3-5年工作经验占比47%，平均月薪¥7,950；|5-10年工作经验占比8%，平均月薪¥10,400；|10年以上工作经验占比1%，平均月薪¥15,578；|24岁以下占比57%；|25岁-29岁占比28%；|30岁-34岁占比10%；|35岁-39岁占比4%；|40岁-44岁占比1%；|
技术|运维/技术支持|IT技术支持|23,066|￥5836|https://www.zhipin.com/salaryxc/c101120100_p100405.html|1年以内工作经验占比5%，平均月薪¥4,300；|1-3年工作经验占比74%，平均月薪¥5,300；|3-5年工作经验占比18%，平均月薪¥7,400；|5-10年工作经验占比2%，平均月薪¥8,500；|10年以上工作经验占比1%，平均月薪¥16,800；|24岁以下占比67%；|25岁-29岁占比21%；|30岁-34岁占比7%；|35岁-39岁占比3%；|40岁-44岁占比1%；|45岁以上占比1%；
技术|运维/技术支持|系统管理员|3,415|￥4576|https://www.zhipin.com/salaryxc/c101120100_p100406.html||1-3年工作经验占比72%，平均月薪¥4,900；|3-5年工作经验占比11%，平均月薪¥6,700；|5-10年工作经验占比16%，平均月薪¥7,572；|10年以上工作经验占比1%，平均月薪¥11,343；|24岁以下占比66%；|25岁-29岁占比22%；|30岁-34岁占比7%；|35岁-39岁占比4%；|40岁-44岁占比1%；|
技术|运维/技术支持|网络安全|10,305|￥6760|https://www.zhipin.com/salaryxc/c101120100_p100407.html||1-3年工作经验占比60%，平均月薪¥7,900；|3-5年工作经验占比37%，平均月薪¥9,100；|5-10年工作经验占比3%，平均月薪¥11,500；||24岁以下占比67%；|25岁-29岁占比22%；|30岁-34岁占比6%；|35岁-39岁占比3%；|40岁-44岁占比2%；|
技术|运维/技术支持|系统安全|90|￥11816|https://www.zhipin.com/salaryxc/c101120100_p100408.html||1-3年工作经验占比8%，平均月薪¥5,218；|3-5年工作经验占比82%，平均月薪¥8,500；|5-10年工作经验占比9%，平均月薪¥9,606；|10年以上工作经验占比1%，平均月薪¥14,390；|24岁以下占比49%；|25岁-29岁占比33%；|30岁-34岁占比10%；|35岁-39岁占比3%；|40岁-44岁占比4%；|45岁以上占比1%；
技术|运维/技术支持|DBA|1,811|￥9046|https://www.zhipin.com/salaryxc/c101120100_p100409.html||1-3年工作经验占比32%，平均月薪¥6,790；|3-5年工作经验占比62%，平均月薪¥10,600；|5-10年工作经验占比4%，平均月薪¥12,500；|10年以上工作经验占比2%，平均月薪¥18,724；|24岁以下占比54%；|25岁-29岁占比27%；|30岁-34岁占比12%；|35岁-39岁占比5%；|40岁-44岁占比2%；|
技术|运维/技术支持|技术文档工程师|72|￥8096|https://www.zhipin.com/salaryxc/c101120100_p100410.html||1-3年工作经验占比41%，平均月薪¥7,889；|3-5年工作经验占比47%，平均月薪¥12,850；|5-10年工作经验占比11%，平均月薪¥14,523；|10年以上工作经验占比1%，平均月薪¥21,755；|24岁以下占比56%；|25岁-29岁占比32%；|30岁-34岁占比8%；|35岁-39岁占比4%；||
技术|数据|数据采集|570|￥6506|https://www.zhipin.com/salaryxc/c101120100_p100122.html||1-3年工作经验占比61%，平均月薪¥6,600；|3-5年工作经验占比38%，平均月薪¥10,000；||10年以上工作经验占比1%，平均月薪¥18,200；|24岁以下占比65%；|25岁-29岁占比23%；|30岁-34岁占比6%；|35岁-39岁占比4%；|40岁-44岁占比2%；|
技术|数据|ETL工程师|5,456|￥10280|https://www.zhipin.com/salaryxc/c101120100_p100506.html||1-3年工作经验占比21%，平均月薪¥7,900；|3-5年工作经验占比72%，平均月薪¥10,000；|5-10年工作经验占比7%，平均月薪¥11,500；||24岁以下占比41%；|25岁-29岁占比48%；|30岁-34岁占比8%；|35岁-39岁占比2%；||45岁以上占比1%；
技术|数据|数据仓库|2,451|￥7423|https://www.zhipin.com/salaryxc/c101120100_p100507.html||1-3年工作经验占比10%，平均月薪¥4,900；|3-5年工作经验占比84%，平均月薪¥10,350；|5-10年工作经验占比6%，平均月薪¥10,600；||24岁以下占比44%；|25岁-29岁占比46%；|30岁-34岁占比7%；|35岁-39岁占比3%；||
技术|数据|数据开发|23,273|￥10516|https://www.zhipin.com/salaryxc/c101120100_p100508.html||1-3年工作经验占比29%，平均月薪¥8,600；|3-5年工作经验占比57%，平均月薪¥9,500；|5-10年工作经验占比14%，平均月薪¥10,000；||24岁以下占比37%；|25岁-29岁占比52%；|30岁-34岁占比8%；|35岁-39岁占比2%；||45岁以上占比1%；
技术|数据|数据分析师|22,315|￥7216|https://www.zhipin.com/salaryxc/c101120100_p100511.html|1年以内工作经验占比8%，平均月薪¥5,200；|1-3年工作经验占比59%，平均月薪¥6,300；|3-5年工作经验占比28%，平均月薪¥9,500；|5-10年工作经验占比5%，平均月薪¥9,700；||24岁以下占比59%；|25岁-29岁占比31%；|30岁-34岁占比7%；|35岁-39岁占比2%；|40岁-44岁占比1%；|
技术|数据|数据架构师|533|￥17853|https://www.zhipin.com/salaryxc/c101120100_p100512.html||1-3年工作经验占比16%，平均月薪¥5,884；|3-5年工作经验占比35%，平均月薪¥11,900；|5-10年工作经验占比49%，平均月薪¥14,000；||24岁以下占比8%；|25岁-29岁占比39%；|30岁-34岁占比28%；|35岁-39岁占比20%；|40岁-44岁占比4%；|45岁以上占比1%；
技术|数据|爬虫工程师|440|￥7453|https://www.zhipin.com/salaryxc/c101120100_p100514.html||1-3年工作经验占比79%，平均月薪¥7,000；|3-5年工作经验占比19%，平均月薪¥8,600；|5-10年工作经验占比1%，平均月薪¥11,800；|10年以上工作经验占比1%，平均月薪¥17,675；|24岁以下占比68%；|25岁-29岁占比25%；|30岁-34岁占比5%；|35岁-39岁占比1%；||45岁以上占比1%；
技术|数据|数据治理|0||https://www.zhipin.com/salaryxc/c101120100_p100515.html|||||||||||
技术|项目管理|项目经理/主管|55,379|￥10466|https://www.zhipin.com/salaryxc/c101120100_p100601.html|1年以内工作经验占比2%，平均月薪¥3,900；|1-3年工作经验占比26%，平均月薪¥7,700；|3-5年工作经验占比39%，平均月薪¥10,000；|5-10年工作经验占比31%，平均月薪¥12,000；|10年以上工作经验占比2%，平均月薪¥15,000；|24岁以下占比18%；|25岁-29岁占比31%；|30岁-34岁占比28%；|35岁-39岁占比15%；|40岁-44岁占比6%；|45岁以上占比2%；
技术|项目管理|项目助理|18,441|￥4806|https://www.zhipin.com/salaryxc/c101120100_p100603.html||1-3年工作经验占比69%，平均月薪¥4,600；|3-5年工作经验占比29%，平均月薪¥5,000；|5-10年工作经验占比2%，平均月薪¥6,500；||24岁以下占比67%；|25岁-29岁占比25%；|30岁-34岁占比6%；|35岁-39岁占比2%；||
技术|项目管理|项目专员|11,190|￥5923|https://www.zhipin.com/salaryxc/c101120100_p100604.html||1-3年工作经验占比71%，平均月薪¥5,700；|3-5年工作经验占比28%，平均月薪¥7,100；||10年以上工作经验占比1%，平均月薪¥14,979；|24岁以下占比56%；|25岁-29岁占比30%；|30岁-34岁占比9%；|35岁-39岁占比3%；|40岁-44岁占比1%；|45岁以上占比1%；
技术|项目管理|实施顾问|13,143|￥8556|https://www.zhipin.com/salaryxc/c101120100_p100605.html||1-3年工作经验占比36%，平均月薪¥7,600；|3-5年工作经验占比56%，平均月薪¥9,800；|5-10年工作经验占比8%，平均月薪¥11,200；||24岁以下占比54%；|25岁-29岁占比30%；|30岁-34岁占比11%；|35岁-39岁占比4%；|40岁-44岁占比1%；|
技术|项目管理|实施工程师|55,797|￥6970|https://www.zhipin.com/salaryxc/c101120100_p100606.html|1年以内工作经验占比3%，平均月薪¥5,400；|1-3年工作经验占比66%，平均月薪¥5,600；|3-5年工作经验占比29%，平均月薪¥7,100；|5-10年工作经验占比2%，平均月薪¥9,800；||24岁以下占比67%；|25岁-29岁占比25%；|30岁-34岁占比6%；|35岁-39岁占比2%；||
技术|项目管理|需求分析工程师|9,468|￥9660|https://www.zhipin.com/salaryxc/c101120100_p100607.html||1-3年工作经验占比25%，平均月薪¥8,600；|3-5年工作经验占比66%，平均月薪¥10,400；|5-10年工作经验占比9%，平均月薪¥12,000；||24岁以下占比28%；|25岁-29岁占比39%；|30岁-34岁占比21%；|35岁-39岁占比8%；|40岁-44岁占比2%；|45岁以上占比2%；
技术|项目管理|硬件项目经理|373|￥13676|https://www.zhipin.com/salaryxc/c101120100_p100817.html||1-3年工作经验占比10%，平均月薪¥7,200；|3-5年工作经验占比62%，平均月薪¥11,200；|5-10年工作经验占比28%，平均月薪¥12,100；||24岁以下占比20%；|25岁-29岁占比32%；|30岁-34岁占比33%；|35岁-39岁占比13%；|40岁-44岁占比2%；|
技术|高端技术职位|技术经理|7,794|￥13253|https://www.zhipin.com/salaryxc/c101120100_p100701.html||1-3年工作经验占比7%，平均月薪¥7,300；|3-5年工作经验占比52%，平均月薪¥11,600；|5-10年工作经验占比41%，平均月薪¥13,500；||24岁以下占比15%；|25岁-29岁占比32%；|30岁-34岁占比29%；|35岁-39岁占比17%；|40岁-44岁占比5%；|45岁以上占比2%；
技术|高端技术职位|技术总监|4,729|￥22873|https://www.zhipin.com/salaryxc/c101120100_p100702.html||1-3年工作经验占比6%，平均月薪¥16,500；|3-5年工作经验占比31%，平均月薪¥16,500；|5-10年工作经验占比62%，平均月薪¥19,400；|10年以上工作经验占比1%，平均月薪¥28,500；|24岁以下占比5%；|25岁-29岁占比17%；|30岁-34岁占比30%；|35岁-39岁占比30%；|40岁-44岁占比14%；|45岁以上占比4%；
技术|高端技术职位|架构师|4,649|￥17330|https://www.zhipin.com/salaryxc/c101120100_p100704.html||1-3年工作经验占比5%，平均月薪¥14,400；|3-5年工作经验占比24%，平均月薪¥17,100；|5-10年工作经验占比71%，平均月薪¥22,000；||24岁以下占比9%；|25岁-29岁占比31%；|30岁-34岁占比33%；|35岁-39岁占比21%；|40岁-44岁占比5%；|45岁以上占比1%；
技术|高端技术职位|CTO/CIO|948|￥27246|https://www.zhipin.com/salaryxc/c101120100_p100705.html|1年以内工作经验占比1%，平均月薪¥8,340；|1-3年工作经验占比22%，平均月薪¥9,667；|3-5年工作经验占比30%，平均月薪¥15,000；|5-10年工作经验占比45%，平均月薪¥18,500；|10年以上工作经验占比2%，平均月薪¥23,000；|24岁以下占比3%；|25岁-29岁占比13%；|30岁-34岁占比28%；|35岁-39岁占比32%；|40岁-44岁占比21%；|45岁以上占比3%；
技术|高端技术职位|运维总监|185|￥18053|https://www.zhipin.com/salaryxc/c101120100_p100706.html||1-3年工作经验占比1%，平均月薪¥14,400；|3-5年工作经验占比87%，平均月薪¥15,750；|5-10年工作经验占比11%，平均月薪¥16,800；|10年以上工作经验占比1%，平均月薪¥25,165；|24岁以下占比5%；|25岁-29岁占比18%；|30岁-34岁占比32%；|35岁-39岁占比22%；|40岁-44岁占比19%；|45岁以上占比4%；
技术|高端技术职位|技术合伙人|554|￥14276|https://www.zhipin.com/salaryxc/c101120100_p100707.html||1-3年工作经验占比2%，平均月薪¥11,500；|3-5年工作经验占比83%，平均月薪¥16,500；|5-10年工作经验占比15%，平均月薪¥18,650；||24岁以下占比19%；|25岁-29岁占比29%；|30岁-34岁占比25%；|35岁-39岁占比16%；|40岁-44岁占比8%；|45岁以上占比3%；
技术|硬件开发|硬件工程师|14,044|￥7926|https://www.zhipin.com/salaryxc/c101120100_p100801.html|1年以内工作经验占比3%，平均月薪¥6,600；|1-3年工作经验占比45%，平均月薪¥7,400；|3-5年工作经验占比39%，平均月薪¥9,200；|5-10年工作经验占比12%，平均月薪¥12,300；|10年以上工作经验占比1%，平均月薪¥13,200；|24岁以下占比60%；|25岁-29岁占比26%；|30岁-34岁占比7%；|35岁-39岁占比4%；|40岁-44岁占比2%；|45岁以上占比1%；
技术|硬件开发|嵌入式软件工程师|17,215|￥9529|https://www.zhipin.com/salaryxc/c101120100_p100802.html|1年以内工作经验占比3%，平均月薪¥5,650；|1-3年工作经验占比43%，平均月薪¥7,700；|3-5年工作经验占比41%，平均月薪¥10,600；|5-10年工作经验占比13%，平均月薪¥13,500；||24岁以下占比58%；|25岁-29岁占比25%；|30岁-34岁占比9%；|35岁-39岁占比4%；|40岁-44岁占比2%；|45岁以上占比2%；
技术|硬件开发|单片机|2,852|￥6590|https://www.zhipin.com/salaryxc/c101120100_p100804.html||1-3年工作经验占比52%，平均月薪¥6,400；|3-5年工作经验占比41%，平均月薪¥7,400；|5-10年工作经验占比6%，平均月薪¥8,550；|10年以上工作经验占比1%，平均月薪¥12,300；|24岁以下占比71%；|25岁-29岁占比20%；|30岁-34岁占比4%；|35岁-39岁占比3%；|40岁-44岁占比1%；|45岁以上占比1%；
技术|硬件开发|电路设计|1,185|￥6866|https://www.zhipin.com/salaryxc/c101120100_p100805.html||1-3年工作经验占比30%，平均月薪¥6,800；|3-5年工作经验占比68%，平均月薪¥11,300；|5-10年工作经验占比1%，平均月薪¥11,800；|10年以上工作经验占比1%，平均月薪¥17,675；|24岁以下占比61%；|25岁-29岁占比23%；|30岁-34岁占比8%；|35岁-39岁占比4%；|40岁-44岁占比2%；|45岁以上占比2%；
