P1|P2|P3|样本数|平均月薪|链接|1年以内|1-3年|3-5年|5-10年|10年以上|24岁以下|25岁-29岁|30岁-34岁|35岁-39岁|40岁-44岁|45岁以上
生产制造|电气/自动化|自动化|5,386|￥6736|https://www.zhipin.com/salaryxc/c101120100_p100803.html||1-3年工作经验占比46%，平均月薪¥6,000；|3-5年工作经验占比50%，平均月薪¥8,000；|5-10年工作经验占比4%，平均月薪¥8,350；||24岁以下占比60%；|25岁-29岁占比21%；|30岁-34岁占比9%；|35岁-39岁占比5%；|40岁-44岁占比3%；|45岁以上占比2%；
生产制造|电气/自动化|电气工程师|30,302|￥6913|https://www.zhipin.com/salaryxc/c101120100_p101402.html|1年以内工作经验占比6%，平均月薪¥6,000；|1-3年工作经验占比57%，平均月薪¥6,000；|3-5年工作经验占比29%，平均月薪¥8,500；|5-10年工作经验占比7%，平均月薪¥9,800；|10年以上工作经验占比1%，平均月薪¥10,000；|24岁以下占比59%；|25岁-29岁占比21%；|30岁-34岁占比9%；|35岁-39岁占比7%；|40岁-44岁占比3%；|45岁以上占比1%；
生产制造|电气/自动化|电气设计工程师|4,173|￥9010|https://www.zhipin.com/salaryxc/c101120100_p101404.html||1-3年工作经验占比37%，平均月薪¥8,000；|3-5年工作经验占比54%，平均月薪¥9,100；|5-10年工作经验占比8%，平均月薪¥10,300；|10年以上工作经验占比1%，平均月薪¥18,500；|24岁以下占比46%；|25岁-29岁占比27%；|30岁-34岁占比13%；|35岁-39岁占比8%；|40岁-44岁占比4%；|45岁以上占比2%；
生产制造|汽车制造|汽车设计|295|￥9153|https://www.zhipin.com/salaryxc/c101120100_p230101.html||1-3年工作经验占比16%，平均月薪¥9,400；|3-5年工作经验占比72%，平均月薪¥12,600；|5-10年工作经验占比11%，平均月薪¥12,900；|10年以上工作经验占比1%，平均月薪¥16,700；|24岁以下占比48%；|25岁-29岁占比28%；|30岁-34岁占比14%；|35岁-39岁占比4%；|40岁-44岁占比2%；|45岁以上占比4%；
生产制造|汽车制造|车身/造型设计|25|￥10470|https://www.zhipin.com/salaryxc/c101120100_p230102.html||1-3年工作经验占比14%，平均月薪¥7,400；|3-5年工作经验占比47%，平均月薪¥12,900；|5-10年工作经验占比38%，平均月薪¥22,000；|10年以上工作经验占比1%，平均月薪¥32,954；|24岁以下占比36%；|25岁-29岁占比28%；|30岁-34岁占比20%；||40岁-44岁占比16%；|
生产制造|汽车制造|底盘工程师|320|￥12010|https://www.zhipin.com/salaryxc/c101120100_p230103.html||1-3年工作经验占比5%，平均月薪¥6,600；|3-5年工作经验占比65%，平均月薪¥13,100；|5-10年工作经验占比29%，平均月薪¥15,000；|10年以上工作经验占比1%，平均月薪¥15,000；|24岁以下占比23%；|25岁-29岁占比36%；|30岁-34岁占比25%；|35岁-39岁占比10%；|40岁-44岁占比3%；|45岁以上占比3%；
生产制造|汽车制造|动力系统工程师|173|￥11730|https://www.zhipin.com/salaryxc/c101120100_p230105.html||1-3年工作经验占比6%，平均月薪¥12,000；|3-5年工作经验占比76%，平均月薪¥14,250；|5-10年工作经验占比17%，平均月薪¥18,600；|10年以上工作经验占比1%，平均月薪¥27,861；|24岁以下占比23%；|25岁-29岁占比49%；|30岁-34岁占比17%；|35岁-39岁占比10%；|40岁-44岁占比1%；|
生产制造|汽车制造|汽车电子工程师|448|￥11986|https://www.zhipin.com/salaryxc/c101120100_p230106.html||1-3年工作经验占比11%，平均月薪¥11,650；|3-5年工作经验占比85%，平均月薪¥12,900；|5-10年工作经验占比4%，平均月薪¥13,500；||24岁以下占比27%；|25岁-29岁占比44%；|30岁-34岁占比15%；|35岁-39岁占比6%；|40岁-44岁占比5%；|45岁以上占比3%；
生产制造|汽车制造|汽车零部件设计|354|￥10486|https://www.zhipin.com/salaryxc/c101120100_p230107.html||1-3年工作经验占比38%，平均月薪¥5,300；|3-5年工作经验占比58%，平均月薪¥7,939；|5-10年工作经验占比3%，平均月薪¥10,000；|10年以上工作经验占比1%，平均月薪¥10,500；|24岁以下占比30%；|25岁-29岁占比38%；|30岁-34岁占比13%；|35岁-39岁占比12%；|40岁-44岁占比5%；|45岁以上占比2%；
生产制造|汽车制造|汽车项目管理|330|￥11183|https://www.zhipin.com/salaryxc/c101120100_p230108.html||1-3年工作经验占比40%，平均月薪¥17,600；|3-5年工作经验占比48%，平均月薪¥18,500；|5-10年工作经验占比12%，平均月薪¥20,126；||24岁以下占比25%；|25岁-29岁占比33%；|30岁-34岁占比22%；|35岁-39岁占比12%；|40岁-44岁占比5%；|45岁以上占比3%；
生产制造|汽车制造|内外饰设计工程师|80|￥9316|https://www.zhipin.com/salaryxc/c101120100_p230110.html||1-3年工作经验占比48%，平均月薪¥17,800；|3-5年工作经验占比27%，平均月薪¥21,456；|5-10年工作经验占比23%，平均月薪¥39,500；|10年以上工作经验占比2%，平均月薪¥59,168；|24岁以下占比35%；|25岁-29岁占比30%；|30岁-34岁占比20%；|35岁-39岁占比12%；|40岁-44岁占比2%；|45岁以上占比1%；
生产制造|汽车制造|总装工程师|139|￥9630|https://www.zhipin.com/salaryxc/c101120100_p230210.html||1-3年工作经验占比37%，平均月薪¥8,000；|3-5年工作经验占比55%，平均月薪¥15,600；|5-10年工作经验占比7%，平均月薪¥16,450；|10年以上工作经验占比1%，平均月薪¥23,367；|24岁以下占比30%；|25岁-29岁占比26%；|30岁-34岁占比25%；|35岁-39岁占比11%；|40岁-44岁占比4%；|45岁以上占比4%；
生产制造|生产营运|厂长|4,312|￥11506|https://www.zhipin.com/salaryxc/c101120100_p300101.html||1-3年工作经验占比17%，平均月薪¥10,600；|3-5年工作经验占比62%，平均月薪¥11,700；|5-10年工作经验占比21%，平均月薪¥12,600；||24岁以下占比4%；|25岁-29岁占比6%；|30岁-34岁占比20%；|35岁-39岁占比32%；|40岁-44岁占比22%；|45岁以上占比16%；
